"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2021","14,486.20","14,540.08","14,665.99","14,482.61","664.49M","-0.64%"
"10/12/2021","14,465.92","14,539.09","14,552.71","14,441.60","768.40M","-0.14%"
"10/13/2021","14,571.64","14,537.17","14,589.28","14,471.88","760.21M","0.73%"
"10/14/2021","14,823.43","14,717.50","14,827.56","14,699.52","815.46M","1.73%"
"10/15/2021","14,897.34","14,891.24","14,904.98","14,847.97","924.17M","0.50%"
"10/18/2021","15,021.81","14,839.74","15,026.68","14,833.28","798.36M","0.84%"
"10/19/2021","15,129.09","15,073.13","15,137.85","15,049.73","788.58M","0.71%"
"10/20/2021","15,121.68","15,160.00","15,178.39","15,071.15","743.43M","-0.05%"
"10/21/2021","15,215.70","15,104.80","15,222.25","15,094.14","891.24M","0.62%"
"10/22/2021","15,090.20","15,158.07","15,193.01","15,021.02","1.10B","-0.82%"
"10/25/2021","15,226.71","15,142.92","15,259.63","15,070.75","1.09B","0.90%"
"10/26/2021","15,235.72","15,317.50","15,384.00","15,198.23","1.22B","0.06%"
"10/27/2021","15,235.84","15,276.00","15,364.54","15,235.84","1.09B","0.00%"
"10/28/2021","15,448.12","15,304.74","15,452.30","15,290.31","1.06B","1.39%"
"10/29/2021","15,498.39","15,323.29","15,504.12","15,323.29","1.06B","0.33%"
"11/01/2021","15,595.92","15,541.26","15,598.95","15,470.82","1.00B","0.63%"
"11/02/2021","15,649.60","15,583.99","15,656.60","15,569.27","997.88M","0.34%"
"11/03/2021","15,811.58","15,658.52","15,821.58","15,616.44","1.00B","1.04%"
"11/04/2021","15,940.31","15,849.74","15,966.09","15,827.66","1.02B","0.81%"
"11/05/2021","15,971.59","16,003.56","16,053.39","15,900.78","1.06B","0.20%"
"11/08/2021","15,982.36","15,995.72","16,038.23","15,961.81","1.06B","0.07%"
"11/09/2021","15,886.54","16,024.13","16,035.21","15,836.68","1.03B","-0.60%"
"11/10/2021","15,622.70","15,753.84","15,867.24","15,543.68","989.63M","-1.66%"
"11/11/2021","15,704.28","15,752.08","15,768.03","15,695.77","867.11M","0.52%"
"11/12/2021","15,860.96","15,752.62","15,874.58","15,705.38","988.93M","1.00%"
"11/15/2021","15,853.85","15,894.82","15,918.45","15,778.31","952.14M","-0.04%"
"11/16/2021","15,973.85","15,840.32","15,989.61","15,825.00","1.01B","0.76%"
"11/17/2021","15,921.57","15,973.61","15,998.57","15,909.39","966.81M","-0.33%"
"11/18/2021","15,993.71","15,973.40","16,010.88","15,848.83","1.08B","0.45%"
"11/19/2021","16,057.44","16,042.16","16,121.12","16,017.23","1.02B","0.40%"
"11/22/2021","15,854.76","16,120.92","16,212.23","15,851.04","1.13B","-1.26%"
"11/23/2021","15,775.14","15,809.50","15,895.86","15,601.46","1.07B","-0.50%"
"11/24/2021","15,845.23","15,677.88","15,848.56","15,591.36","842.33M","0.44%"
"11/26/2021","15,491.66","15,664.38","15,731.54","15,456.09","781.49M","-2.23%"
"11/29/2021","15,782.83","15,719.42","15,833.11","15,644.61","1.01B","1.88%"
"11/30/2021","15,537.69","15,716.50","15,828.20","15,451.39","1.78B","-1.55%"
"12/01/2021","15,254.05","15,752.27","15,816.82","15,243.93","1.22B","-1.83%"
"12/02/2021","15,381.32","15,181.82","15,444.54","15,150.12","1.10B","0.83%"
"12/03/2021","15,085.47","15,428.71","15,470.36","14,931.06","1.20B","-1.92%"
"12/06/2021","15,225.15","15,117.63","15,281.99","14,931.61","1.07B","0.93%"
"12/07/2021","15,686.92","15,510.91","15,720.09","15,507.66","1.06B","3.03%"
"12/08/2021","15,786.99","15,690.65","15,792.64","15,618.88","921.93M","0.64%"
"12/09/2021","15,517.37","15,720.54","15,796.05","15,511.12","869.50M","-1.71%"
"12/10/2021","15,630.60","15,629.59","15,677.60","15,477.85","875.08M","0.73%"
"12/13/2021","15,413.28","15,621.27","15,637.06","15,408.25","996.25M","-1.39%"
"12/14/2021","15,237.64","15,215.96","15,317.55","15,097.35","1.03B","-1.14%"
"12/15/2021","15,565.58","15,230.71","15,575.76","15,055.23","1.17B","2.15%"
"12/16/2021","15,180.43","15,629.08","15,633.19","15,119.49","1.10B","-2.47%"
"12/17/2021","15,169.68","15,036.77","15,288.78","14,960.37","3.01B","-0.07%"
"12/20/2021","14,980.94","14,933.00","15,007.30","14,860.04","1.02B","-1.24%"
"12/21/2021","15,341.09","15,140.43","15,349.06","15,015.02","976.83M","2.40%"
"12/22/2021","15,521.89","15,319.16","15,525.97","15,303.06","783.47M","1.18%"
"12/23/2021","15,653.37","15,544.79","15,697.98","15,528.91","746.13M","0.85%"
"12/27/2021","15,871.26","15,696.83","15,871.40","15,696.83","741.10M","1.39%"
"12/28/2021","15,781.72","15,895.20","15,901.47","15,757.07","691.47M","-0.56%"
"12/29/2021","15,766.22","15,794.92","15,821.81","15,679.85","699.59M","-0.10%"
"12/30/2021","15,741.56","15,758.98","15,868.09","15,729.16","768.18M","-0.16%"
"12/31/2021","15,644.97","15,722.91","15,777.43","15,643.93","729.41M","-0.61%"
